VALIDERT	LIMS_OPPDRAGSNR	PROSJEKTNAVN	PRAVENR	PRAVEMERKING	STASJON	Havdyp	DATE	METODEKODE	ANALYSE	KOMPONENT	STANDARD	RESULTAT	ENHETER	AKKREDITERING	UNDERLEVERANDR_STANDARD	Sample type	DYP	ART	VEV	Sampling_date
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Aluminium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	50.00	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Arsen	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.5	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Nikkel	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.8	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Kalium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	50.00	mg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	S?lv	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.04	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Magnesium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	165	mg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Kobolt	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.1	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Kadmium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.06	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Bly	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	3.54	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Vanadium	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	0.22	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Grunnpris	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	Utf?rt	-	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Sink	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	3.50	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Mangan	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	2.98	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Krom	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.5	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Kobber	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<0.8	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	E8-4	METALLER_ICPMS	Jern	Mod. NS EN ISO 17294-1:2007 og Mod. NS-EN ISO 17294-2:2016	<40.0	æg/l	Ja		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	INTERN_NIVA	PFAS	TFA	Intern metode	122	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	Zinc pyrithione	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CFPCN	Intern metode	0.69	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	ACBE	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	CHPAPE	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
Ja	1489-13811	O 240090 - Screening 2024, 240090	NR-2025-00131	Blom St. 1 	Scr24_B1	1	2024.09.25 00:00:00	INTERN_NIVA	SLM-STOFFER	ACCA	Intern metode	N.A.	ng/L	Nei		Seawater	0-0			25.09.2024 00:00:00
